# Exported from Du Chinese
Simplified,Traditional,Pinyin,Meaning,Simplified sentence,Traditional sentence,Sentence pinyin,Sentence translation
当地,當地,dāng dì,"local
at the place in question",爱米：谢谢！我想问一下，我们到北京时，是当地时间几点呢？,愛米：謝謝！我想問一下，我們到北京時，是當地時間幾點呢？,ài mǐ ： xiè xie ！ wǒ xiǎng wèn yí xià ， wǒ men dào běi jīng shí ， shì dāng dì shí jiān jǐ diǎn ne ？,"Amy: Thank you! May I ask, what’s the local time when we arrive in Beijing?"
转机,轉機,zhuǎn jī,to change planes,乘务员：我们会在北京时间晚上七点到北京。您要转机吗？,乘務員：我們會在北京時間晚上七點到北京。您要轉機嗎？,chéng wù yuán ： wǒ men huì zài běi jīng shí jiān wǎn shang qī diǎn dào běi jīng 。 nín yào zhuǎn jī ma ？,Flight Attendant: We will arrive in Beijing at 7 pm Beijing time. Are you transferring to another flight?
爱米,愛米,ài mǐ,Amy (name),爱米：咖啡，谢谢！,愛米：咖啡，謝謝！,ài mǐ ： kā fēi ， xiè xie ！,"Amy: Coffee, thank you!"
乘务员,乘務員,chéng wù yuán,"attendant on an airplane, train, boat etc",乘务员：您好！您想喝点什么？我们有茶、咖啡、水和可乐。,乘務員：您好！您想喝點什麼？我們有茶、咖啡、水和可樂。,chéng wù yuán ： nín hǎo ！ nín xiǎng hē diǎn shén me ？ wǒ men yǒu chá 、 kā fēi 、 shuǐ hé kě lè 。,"Flight attendant: Hello! What would you like to drink? We have tea, coffee, water, and cola."
点餐,點餐,diǎn cān,"(at a restaurant) to order a meal
(of a waiter) to take an order",飞机点餐,飛機點餐,fēi jī diǎn cān,Ordering Food on the Plane
完蛋,完蛋,wán dàn,(coll.) to be done for,更有意思的是，如果一个人遇到了麻烦，他会说：“天啊，我完蛋了！”,更有意思的是，如果一個人遇到了麻煩，他會說：“天啊，我完蛋了！”,gèng yǒu yì si de shì ， rú guǒ yí ge rén yù dào le má fan ， tā huì shuō ： “ tiān ā ， wǒ wán dàn le ！”,"What’s more interesting, if someone gets into trouble, they can say, “Oh my God, I’m done for!”"
遇到,遇到,yù dào,"to meet
to run into
to come across",更有意思的是，如果一个人遇到了麻烦，他会说：“天啊，我完蛋了！”,更有意思的是，如果一個人遇到了麻煩，他會說：“天啊，我完蛋了！”,gèng yǒu yì si de shì ， rú guǒ yí ge rén yù dào le má fan ， tā huì shuō ： “ tiān ā ， wǒ wán dàn le ！”,"What’s more interesting, if someone gets into trouble, they can say, “Oh my God, I’m done for!”"
麻烦,麻煩,má fan,"inconvenient
troublesome",更有意思的是，如果一个人遇到了麻烦，他会说：“天啊，我完蛋了！”,更有意思的是，如果一個人遇到了麻煩，他會說：“天啊，我完蛋了！”,gèng yǒu yì si de shì ， rú guǒ yí ge rén yù dào le má fan ， tā huì shuō ： “ tiān ā ， wǒ wán dàn le ！”,"What’s more interesting, if someone gets into trouble, they can say, “Oh my God, I’m done for!”"
混蛋,混蛋,hún dàn,"scoundrel
bastard
wretch",如果人们觉得一个人有点坏、想不清楚事情，会说他是“混蛋”。,如果人們覺得一個人有點壞、想不清楚事情，會說他是“混蛋”。,rú guǒ rén men jué de yí ge rén yǒu diǎn huài 、 xiǎng bù qīng chu shì qing ， huì shuō tā shì “ hún dàn ”。,"If people think that someone is a bit bad and doesn’t think things through, they can say that they are a “scoundrel”."
清楚,清楚,qīng chu,"clear
distinct
to understand thoroughly",如果人们觉得一个人有点坏、想不清楚事情，会说他是“混蛋”。,如果人們覺得一個人有點壞、想不清楚事情，會說他是“混蛋”。,rú guǒ rén men jué de yí ge rén yǒu diǎn huài 、 xiǎng bù qīng chu shì qing ， huì shuō tā shì “ hún dàn ”。,"If people think that someone is a bit bad and doesn’t think things through, they can say that they are a “scoundrel”."
笨,笨,bèn,"stupid
foolish
silly",如果人们觉得一个人非常笨，会说他是“笨蛋”。,如果人們覺得一個人非常笨，會說他是“笨蛋”。,rú guǒ rén men jué de yí ge rén fēi cháng bèn ， huì shuō tā shì “ bèn dàn ”。,"If people think that someone is extremely stupid, they can say that they are an “idiot”."
坏,壞,huài,"bad
spoiled
broken",如果人们觉得一个人很坏，会说他是个“坏蛋”、“大坏蛋”。,如果人們覺得一個人很壞，會說他是個“壞蛋”、“大壞蛋”。,rú guǒ rén men jué de yí ge rén hěn huài ， huì shuō tā shì ge “ huài dàn ”、 “ dà huài dàn ”。,"If people think that someone is very bad, they can say that they are a “bad egg” or a “really bad egg”."
